05,FONTE,TÍTULO,CATEGORIA,MUNICÍPIO,BAIRRO,REGIÃO - ZONA,LINK,OPERADOR,Coluna 1,Coluna 2
18/02/2025,App  VIU,"Disparos foram efetudados nas imediações da Caixa d'Água na Vila São João, em São João de Meriti. Evite esta região",Tiroteio,São João de Meriti,Vilar dos Teles,Baixada Fluminense,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Heitor,,
18/02/2025,App  VIU,ncêndio no galpão da Globo neste momento. Evite as imediações desta área.,Incêndios Acidentais e causados,Rio de Janeiro,Curicica,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Heitor,,
18/02/2025,App  VIU,Incêndio na localidade conhecida como Morro do Calango. Evite a Rua Cândido Benício nesta região.,Incêndio criminoso,Rio de Janeiro,Praça Seca,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Heitor,,
18/02/2025,App  VIU,Incêndio na localidade conhecida como Pedra de Santo Inácio. Evite as imediações desta região.,Incêndios Acidentais e causados,Niterói,São Francisco Xavier,Região Metropolitana do Rio de Janeiro,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Heitor,,
18/02/2025,App  VIU,"Operação policial em andamento no Complexo da Manguerinha. Muitos tiros já foram escutados por residentes do local, evite essa região.",Operações policiais,Rio de Janeiro,Jardim Olavo Bilac,Baixada Fluminense,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Heitor,,
18/02/2025,App  VIU,"Tiros podem ser ouvidos na Rua Santos Mello. Sugere-se evitar essa região, cautela ao transitar pelas proximidades, caso seja inevitável.",Tiroteio,Rio de Janeiro,São Francisco Xavier,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Heitor,,
18/02/2025,App  VIU,Presença policial na comunidade do Jardim Gramacho. A operação está ocorrendo sem relatos de disparos até agora. Evite essa região.,Operações policiais,Rio de Janeiro,Jardim Gramacho,Baixada Fluminense,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Heitor,,
18/02/2025,App  VIU,"Operação policial em andamento na comunidade dos Periquitos. Muitos tiros já foram escutados por residentes do local, evite essa região.",Operações policiais,Rio de Janeiro,Jardim Olavo Bilac,Baixada Fluminense,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
19/02/2025,X - Fogo Cruzado,"Há operação policial no Morro do Juramentinho, em Tomás Coelho, na Zona Norte do Rio",Operações policiais,Rio de Janeiro,Tomás Coelho,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
19/02/2025,Radio Band News FM,Manifestação em frente do Hospital Federal de Andaraí na Rua Gastão Penalva.,Atos programados (manifestações),Rio de Janeiro,Andaraí,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
